,features,categorical_target_1,categorical_target_2,continuous_target_1,continous_target_2
58222,"Emiliana began as Vinedos Organicos Emiliana, but now goes only by Emiliana because getting certified as an organic winery proved too difficult. Still, Emiliana's vineyards are organically farmed, and this five-grape blend made by Alvaro Espinoza is intense and extracted yet still finely knit. It's a serious wine with slight herbal/pine aromas, robust red-fruit flavors, and a smooth, stylish finish. Not overdone, so drink now.",Chile,Red Blend,90,30.0
113333,"Aromas of raspberry and green peppercorn carry the nose. The palate is green, with underripe cranberry and wild blackberry accompanied by leather and white pepper. Underripe tannins are course throughout and dominate the finish with flavors of blackberry and cedar.",US,Cabernet Sauvignon,82,20.0
33768,"This is an excellent rosé with some red-wine character showing through the pale-salmon color and fresh fruitiness. It has slightly meaty, spicy and cherry-like flavors, a good balance between medium body and firm acidity, and a nice tangy finish.",US,Rosé,90,20.0
120802,"Tar, boysenberry and beef char show on this very dark expression of Syrah, which is still tightly wound. There is great intensity to the palate, where fire-roasted black plums and elderberries create a rustic quality.",US,Syrah,90,38.0
54221,"A rose garden's worth of aromas lift out of the glass in this hearty, full-bodied red, the peppery tannins somewhat grippy on the palate before settling down. Blackberry punches through on the palate, given additional color and lift from the 5% Petit Verdot.",US,Cabernet Franc,87,25.0
68049,"Smooth and ripe, this offers good acidity as well as apple and citrus flavors. With a crisp texture and touches of minerality, it is ready to drink,",France,Chardonnay,88,30.0
112043,"Herb, anise, baking-spice, smoke and dark-fruit aromas are followed by medium-bodied fruit flavors surrounded by velvety tannins. The balance is just about spot on.",US,Cabernet Sauvignon,89,75.0
78414,"Racy and pure, this Chard shows the bright lime, lemon and kiwi flavors of Edna Valley Chards, with a sleek undergirding of steely minerals. It's crisp and dry, although smoky oak lends caramel and vanilla notes.",US,Chardonnay,90,38.0
129725,"This robust wine is made from 62% Merlot, 37% Cabernet Sauvignon and 1% Petit Verdot. Herbal in personality, it retains a full-bodied ripeness of concentrated fruit, showcased in tobacco, leather and licorice. The tannins are sizable and grippy.",US,Claret,90,140.0
51969,"Aromas of smoke, charred earth, dark spice and black-skinned berry lift out of the glass. The concentrated firmly structured palate offers dried black cherry, blackberry extract, ground pepper and a hint of tobacco framed in fine-grained tannins. Drink 2019–2029.",Italy,Aglianico,93,180.0
96719,"With a small amount of Tannat in the blend, this is a severe, tannic wine that will age. It has plum skin fruits, great weight and concentration, a dark, brooding structure, firm and solid. Age for 4–5 years.",France,Malbec,92,
110318,"Produced by the team from classed growth Château Giscours, this is a successfully ripe wine with smoothly integrated tannins. Cushioned by the ripe fruit, the structure is concentrated and impressive. Drink this wine from 2022.",France,Bordeaux-style Red Blend,91,40.0
109657,"A ripe wine that has red-berry fruits, slices of black plum and a full deck of tannins. It is concentrated and ripe, full of fruit and equally full of structure. Let the two soften and drink from 2018.",France,Bordeaux-style Red Blend,88,35.0
33350,"Petal pink in the glass, this wine was specifically grown to be a rosé by winemaker David Galzignato. The nose is pretty with bubble gum, strawberry, raspberry and a bit of lime peel, and the palate offers flavors of ruby-red grapefruit and lemon juice, with bright acidity throughout.",US,Mourvèdre,88,25.0
27417,"This is three fifths Merlot, the rest spread among the other four Bordeaux grapes. It's very well crafted, showing a bit of herb along with berries and spice. What most impresses is the overall structure, and the impression of ageworthy muscle in the finish.",US,Bordeaux-style Red Blend,91,36.0
4857,"Aromas of dark-skinned berry, moist earth and a balsamic note of menthol waft out of the glass. The tart, vibrant palate offers sour cherry and star anise framed in racy acidity and austere tannins.",Italy,Red Blend,87,32.0
64133,"Elena Walch's fantasy wine is a blend of Chardonnay and four other varieties that she does not reveal. Eighteen months in oak give the wine a fine, toasty character and creamy fruit, but still leaves the hallmark Alto Adige crispness and freshness.",Italy,White Blend,90,40.0
6624,"Pfendler has striven to raise the quality of their Pinot Noir, and this 2011 keeps them firmly in place. It's a good, sound wine, dry and silky, with bright acidity and fine raspberry and cherry flavors.",US,Pinot Noir,88,45.0
33628,"With a veritable bouquet of honeysuckle, fresh herb and freesia, this is one fragrant Riesling. Crisp and clean on the palate, it's sweet-tasting and easy-drinking, with ultraripe stone fruit and a prickle of lime-skin astringency on the finish.",Germany,Riesling,91,60.0
87468,"Fairly obvious vanilla and dill aromas work with red-fruit and resin scents to give this a “roble” sort of nose, meaning the oak is definitely there. (Roble is the word for oak in Spanish.) In the mouth, cherry, plum and pasty lactic flavors integrate the more you swirl, while the finish is toasty and dark, with another wave of oak.",Spain,Tempranillo,85,15.0
30949,"Neutral on the nose, this Italian sparkler offers a sharp and tonic mouthfeel followed by light flavors of citrus and peach. It is dry and cleansing with small, tonic effervescence.",Italy,Sparkling Blend,87,
116962,"Starts with raspberry and cherry aromas and a dusty, earthy note that adds complexity and character. You can sense the warmth of the vintage in the glass, with slightly raisined notes that come through on the palate alongside the supple tannins. Drink it over the next few years.",France,Rhône-style Red Blend,88,25.0
18593,"This Sangiovese and Syrah blend opens with slightly burnt aromas of tar and campfire, and it has background notes of dried fruit and leather. It feels dry and a bit flat on the finish.",Italy,Sangiovese,84,18.0
89259,"Intense aromas of rose, iris, perfumed berry and eucalyptus lead the way on this radiant wine. The vibrant palate offers juicy wild cherry, raspberry, grilled sage, menthol and dark kitchen spice while firm, fine-grained tannins provide the framework.",Italy,Nebbiolo,93,75.0
96775,"Leather, cheesy oak, baked raspberry and mild herbal notes create a good bouquet. This is somewhat raw, choppy and pinched in feel, while flavors of loamy black fruits hint at prune. Finishing flavors of coffee and spice are offset by residual juicy acidity.",Spain,Tempranillo Blend,88,18.0
36938,"This wine is a blend from several of the producer's higher-elevation estate vineyards in the appellation. Floral and inviting in sugar apple, caramel crème brûlée and complex spice and salt seasonings, it's plush and voluptuous, with supportive acidity and a crushed stone minerality.",US,Chardonnay,94,40.0
45630,"What stands out here is the wine's complexity. Dried apricots, honey and almond paste are framed by a tiny hint of mint or chopped basil. The wine is very sweet in the mouth but it is also balanced out by a blast of fresh acidity on the close. A blend of Garganega, Sauvignon, Chardonnay and Cortese.",Italy,White Blend,91,32.0
115626,"This lively, muscular, full-bodied wine ripples with smoky, meaty, peppery aromas. A thick, almost chewy texture partners with rowdy blackberry flavors and vivid tannins that will tame the rarest steak or wildest game.",US,Syrah,91,38.0
122923,"Sour fruit, funky root beer, dried salami and asphalt aromas show on the nose of this rustic bottling. Dried fruit and espresso flavors mark the palate.",US,Red Blend,83,25.0
117755,"This 100% Cabernet Sauvignon has massive waves of blackberry, black currant and chocolate flavors that take over the palate, plus a sweet note of toast from the oak. It's very tannic, which gives the mouthfeel an astringent hardness, so try giving it 6–8 years in a cellar, and it may even show well in 12–15 years.",US,Cabernet Sauvignon,91,72.0
10389,"A beautifully balanced wine, expressing a certain sweetness, this has a great line of acidity. It's full bodied, ripe and packed with spice and fruit, while remaining elegant and impressive.",France,Gewürztraminer,91,35.0
49062,"Fermented in open stone lagars, this wine shows a smooth, rounded and very rich character. Sweet wood flavors suggest vanilla, while the tannins are fine, dense and attractively spicy. The aftertaste, with juicy black fruits, adds balance to the wine. Drink now.",Portugal,Portuguese Red,87,17.0
65079,"This crisp, citrus-flavored wine has bright acidity and a touch of vanilla. It has great fruitiness, dominated by lemon with the tang of orange zest. It is ready to drink.",France,Chardonnay,86,15.0
118645,"An attractive pale-salmon color, this 100% Cinsault rosé opens with soft scents of strawberry, pear, melon rind and earthy spice. The palate is lush, with fleshy fruit flavors that are balanced by ample acidity and a soft tannic astringency on the close.",France,Rosé,86,9.0
3676,"A bright, creamy wine with light acidity and flavors of green fruits, pears and a strong streak of grapefruit.",France,Bordeaux-style White Blend,84,
19689,This is a simple fruity wine that is just right for the summer. Light citrus and orange-zest flavors give the wine its lift and brightness. Drink now.,France,Melon,84,11.0
121521,"Aromas of candied berry fruits, milk chocolate and peanut lack focus and purity. This feels grabby and sticky, with resiny oak. Somewhat artificial oak flavors taste creamy and clove-like, while this ends mild and chunky.",Chile,Cabernet Sauvignon,85,13.0
115501,"Fresh, apple-flavored wine, full of white fruits and a tangy, bright acidity. The wine is deliciously fresh, with stone fruit acidity on the finish.",Portugal,Portuguese White,86,6.0
125123,"Slightly earthy and rubbery smelling, with a pinch of wet dog fur on the nose. It feels full and hefty, with sweet blackberry flavors leading to a round, sweet finish. This is solid and easy to like.",Spain,Tempranillo,86,8.0
98271,"Aromas of underbrush, mature berry, new leather, blue flower and menthol emerge in the glass. On the firmly structured palate, an intense mineral vein of iron underscores dried black cherry, white pepper, dried sage and star anise. Austere fine-grained tannins provide the taut framework.",Italy,Nebbiolo,91,80.0
50691,This blend of Albanello and Moscato opens with an off-gold color and rich aromas of yellow rose and honey. There's a touch of bitter almond on the palate.,Italy,White Blend,87,
12740,"Everything is in place in this structured wine that's packed with big berry fruits that give a delicious succulence. At the same time, the tannins offer richness and concentration. It's almost ready to drink.",Portugal,Portuguese Red,88,12.0
129964,"Initially quite muted, this wine slowly develops impressive richness and spice. It's not sweet, more medium dry, with the spice forming a core of dryness that contrasts with the honeyed texture. It can develop more, so wait to drink until 2016.",France,Gewürztraminer,90,
45761,"Rough and awkward, with some cherry flavors and greener ones of stems and herbs. Drinks dry and fairly tannic. Perfectly acceptable as an inexpensive chugger.",US,Merlot,83,14.0
97051,"Old Zinfandel plant material from Santa Cruz was propagated in one of the most inhospitable sites for grapes on Catalina Island to make this wine—a fascinating story for any history lover. The wine itself is somewhat simple, with generic red fruit, turned loam and black pepper scents, followed by cranberry, white pepper and crushed rock flavors on the palate.",US,Zinfandel,88,72.0
635,"Aromas of wood grain, vanilla, butter and fino Sherry are elegant and attractive for this style of white Rioja. On the palate, this oak-aged Viura is smooth, while creamy flavors of oak, apricot and peach excel. A smooth finish with plenty of vanilla and core acidity indicates this will age well for another 10 years.",Spain,Viura,92,28.0
99831,"Very dry, this is all about dark tannins initially, appropriate for the Tannat grape of Madiran. But even from cool 2002, there are good black fruits pushing through those tannins, giving juice, as well as more exotic nutmeg flavors. Age for 4–5 years.",France,Tannat,89,35.0
32710,"This is a wine that varies year by year according to the quality of the harvest. With 2015 a very good vintage in the Southwest, the 100% Duras wine shows well. It's ripe and earthy with sustaining tannins and flavors of ripe plums and rhubarb. It's a wine to age for a few years to soften the tannins and bring it all together. Drink from 2018.",France,Duras,90,18.0
19453,"On the bright and crisp side, this is a lively, fresh wine, mingling green fruits with toast and a more opulent richness.",France,Chardonnay,87,44.0
34855,"Winemaker: Dewaldt Heyns. This Shiraz-dominant blend, with 18% Grenache, 9% Mourvèdre and 2% Viognier, is spicy, structured and powerful. Intense notes of cigar box, leather, cured meat, licorice and anise frame the tight black-fruit core. Dense black berry, cherry and currant flavors unfold on the right, gripping palate, with a firm, spicy finish that lingers long. Despite its age, it comes from one of the best vintages in South Africa, and it has the stuffing to continue to age well through 2022.",South Africa,Rhône-style Red Blend,92,
